N,Year,Industry (ISIC Economic Activity),الصناعة (النشاط الاقتصادي ISIC),Value.
66.0,2020,Transportation and Storage,النقل والتخزين,78.81
67.0,2020,"Water Supply, Sewage Waste Management and Remediation Activities",إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,3.23
68.0,2020,Wholesale and Retail Trade Repair of Motor Vehicles and Motorcycles,تجارة الجملة والتجزئة ، إصلاح المركبات ذات المحركات والدراجات النارية,702.38
69.0,2019,Accommodation and Food Service Activities,أنشطة خدمات الإقامة والطعام,47.6
70.0,2019,Administrative and Support Service Activities,أنشطة الخدمات الإدارية وخدمات الدعم,0.98
71.0,2019,"Arts, Entertainment and Recreation",الفنون والترفية والتسلية,0.35
72.0,2019,Construction,التشييد,98.48
73.0,2019,Education,التعليم,25.73
74.0,2019,"Electricity, Gas Steam and Air Conditioning Supply",إمدادات الكهرباء والغاز والبخار وتكييف الهواء,127.23
75.0,2019,Financial and Insurance Activities,أنشطة التمويل والتأمين,8320.51
76.0,2019,Human Health and Social Work Activities,الأنشطة في مجال صحة الإنسان والعمل الاجتماعي,18.49
77.0,2019,Information and Communication,المعلومات والاتصالات,424.67
78.0,2019,Manufacturing,الصناعة التحويلية,1574.25
79.0,2019,Mining & Quarrying,التعدين وأستغلال المحاجر,1.63
80.0,2019,Other Service Activities,أنشطة الخدمات الأخرى,0.22
81.0,2019,"Professional, Scientific and Technical Activities",الأنشطة المهنية والعلمية والتقنية,27.1
82.0,2019,Real Estate Activities,الأنشطة العقارية,187.17
83.0,2019,Transportation and Storage,النقل والتخزين,45.03
84.0,2019,"Water Supply, Sewage Waste Management and Remediation Activities",إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,1.84
85.0,2019,Wholesale and Retail Trade Repair of Motor Vehicles and Motorcycles,تجارة الجملة والتجزئة ، إصلاح المركبات ذات المحركات والدراجات النارية,635.8
86.0,2018,Accommodation and Food Service Activities,أنشطة خدمات الإقامة والطعام,46.47
87.0,2018,Administrative and Support Service Activities,أنشطة الخدمات الإدارية وخدمات الدعم,3.02
88.0,2018,"Arts, Entertainment and Recreation",الفنون والترفية والتسلية,0.35
89.0,2018,Construction,التشييد,66.69
90.0,2018,Education,التعليم,24.7
91.0,2018,"Electricity, Gas Steam and Air Conditioning Supply",إمدادات الكهرباء والغاز والبخار وتكييف الهواء,145.91
92.0,2018,Financial and Insurance Activities,أنشطة التمويل والتأمين,7894.16
93.0,2018,Human Health and Social Work Activities,الأنشطة في مجال صحة الإنسان والعمل الاجتماعي,18.88
94.0,2018,Information and Communication,المعلومات والاتصالات,385.24
95.0,2018,Manufacturing,الصناعة التحويلية,1552.59
96.0,2018,Mining & Quarrying,التعدين وأستغلال المحاجر,1.52
97.0,2018,Other Service Activities,أنشطة الخدمات الأخرى,0.43
98.0,2018,"Professional, Scientific and Technical Activities",الأنشطة المهنية والعلمية والتقنية,14.45
99.0,2018,Real Estate Activities,الأنشطة العقارية,250.17
100.0,2018,Transportation and Storage,النقل والتخزين,22.06
101.0,2018,"Water Supply, Sewage Waste Management and Remediation Activities",إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,1.84
102.0,2018,Wholesale and Retail Trade Repair of Motor Vehicles and Motorcycles,تجارة الجملة والتجزئة ، إصلاح المركبات ذات المحركات والدراجات النارية,543.6
